behav,S,a1,a2,a5,a6,a7,h1,h2,h5,c1,c2,c3,c4,d1,d3,Decay1,Decay2,Decay4,Decay7,Decay8,leakage_A1,leakage_B,leakage_HSPR,hstart,hduration,model_name,end_time
det,-0.20918,21.10826145,64.27066885,24.03314825,2,300,16.96420575,15.08670196,25.78511487,7.125739149,0.576096731,11.8221705,0.585592025,8.688781536,3.943603445,0.091690788,0.098177135,0.114572306,0.059633241,0.371769452,0.004978148,0.002003654,0.004727733,600,5,woA2,1000.001049
nonres,-0.21242,6.817497438,77.35698262,8.232448765,2,300,43.08042674,27.09101967,20.11965913,5.511830405,0.918108946,10.58509844,0.840222484,6.834540239,0.300104972,0.261554579,0.300376252,0.302421146,0.073102773,0.241852858,0.006763529,0.001727552,0.004629221,600,5,woA2,1000.005447
det,0.031045,24.93938137,97.08512838,39.25467683,2,300,28.5003618,40.41605716,26.23367607,5.800134861,2.857200224,13.251254,1.972134828,5.247448192,0.351848307,0.022305004,0.176088916,0.303967813,0.114431082,0.08148928,0.003397618,0.004109849,0.00709843,600,5,woA2,1000.000401
nonres,0.003299,21.95846661,70.58188337,40.93025504,2,300,41.30699333,13.97059767,15.69317477,7.330691701,0.861768722,8.827584172,1.456327557,7.295048249,4.124162871,0.248247191,0.107662568,0.130390095,0.217878597,0.285586103,0.006042573,0.001002087,0.009345457,600,5,woA2,1000.000428
nonres,-0.44949,15.25080716,60.505048,27.0999008,2,300,34.04962506,6.289743388,8.819660407,11.34245338,4.763914899,13.19330442,0.650648927,9.056998364,0.524836492,0.374540816,0.218866994,0.338677203,0.139245576,0.20456542,0.002985446,0.004109664,0.006001658,600,5,woA2,1000.00195
det,9.923856016390971,25.82501906812892,111.00763641038496,36.14645690893411,2,300,6.0384096604813795,3.6711535319339714,4.241464680039191,12.987655440304266,1.849941736,14.459580869386668,0.1911454203629301,0.028395919884037002,0.099450041,0.04,0.04,0.04,0.04,0.04,0.005612016,0.002758725,0.009264209,600,30,replaceA1,1000.0004578168044
sto,9.216047163802697,40.46585130507733,215.66654585338904,12.799365611078642,2,300,9.195733791612989,7.770570495829936,5.680817705417114,9.263336003,2.8547860564185026,12.948463990713906,0.5846802397097304,0.014918400321072136,0.056675102,0.04,0.04,0.04,0.04,0.04,0.001740516,0.004135294,0.005608327,600,30,replaceA1,1000.0023072403608
det,9.065964387823897,47.85259575105563,56.546451555239365,47.061962512901246,2,300,7.1654485032179345,1.3372331963152884,8.377436908963222,13.82366346627782,0.8629519254562141,14.456385353716813,1.873996621531065,0.040961423,0.016768550573753333,0.04,0.04,0.04,0.04,0.04,0.007173145,0.005110214,0.002465517,600,30,replaceA1,1000.0000990675451
det,8.927604658981016,43.7800159,54.81018611960362,15.866425247147932,2,300,8.635843232426613,5.122453536905412,6.420627963433803,14.937647389206335,2.3292999877217184,5.849193361912137,0.081236718,0.065924581,0.075872549,0.04,0.04,0.04,0.04,0.04,0.00364608,0.006976592,0.007892376,600,30,replaceA1,1000.0002985507463
det,8.376467320640087,48.052283129052384,74.15917854,32.811658095810536,2,300,1.1093949592441705,6.494946259762545,5.657423504499163,6.647814551042219,3.1819916843947387,5.091390542603601,1.311937450011815,0.057599342,0.089336804,0.04,0.04,0.04,0.04,0.04,0.007386543,0.008056476,0.001973894,600,30,replaceA1,1000.0022936894856
det,8.352886084602009,40.425690489209494,91.37669044481942,44.204526117106056,2,300,3.4876181135942366,9.708757111105129,1.5891735430475242,11.591501362146548,3.5199371049958263,6.9219225993127385,0.5009384374116189,0.024350234923761004,0.0917079,0.04,0.04,0.04,0.04,0.04,0.004196632,0.009555361,0.007697835,600,30,replaceA1,1000.000468908885
